Rank,Pokemon,Usage %,Raw,%,Real,%
1,Incineroar,34.71897%,43088,26.088%,35830,27.332%
2,Comfey,32.07045%,31784,19.244%,23565,17.976%
3,Steelix,23.45766%,23732,14.369%,20735,15.817%
4,Garbodor,21.56777%,13826,8.371%,11696,8.922%
5,Passimian,21.45663%,22946,13.893%,18394,14.031%
6,Togedemaru,18.68156%,14630,8.858%,12183,9.294%
7,Druddigon,15.91326%,21827,13.216%,19292,14.716%
8,Slowking,15.07816%,19157,11.599%,15115,11.530%
9,Golbat,15.03644%,15786,9.558%,12982,9.903%
10,Decidueye,14.12692%,13221,8.005%,10559,8.055%
11,Blastoise,14.00382%,19761,11.965%,16060,12.251%
12,Heliolisk,13.57944%,23084,13.977%,17919,13.669%
13,Weezing,13.54998%,17581,10.645%,15262,11.642%
14,Mesprit,13.03212%,10040,6.079%,8494,6.479%
15,Vaporeon,12.50898%,19722,11.941%,15596,11.897%
16,Seismitoad,12.30993%,14471,8.762%,12714,9.699%
17,Dhelmise,12.23239%,20639,12.496%,16887,12.882%
18,Sigilyph,11.62727%,12519,7.580%,9385,7.159%
19,Whimsicott,11.11551%,16375,9.915%,13187,10.059%
20,Aerodactyl,10.33645%,16250,9.839%,13371,10.200%
21,Xatu,9.73852%,19944,12.075%,16049,12.243%
22,Pangoro,9.51257%,8615,5.216%,6870,5.241%
23,Klinklang,9.45813%,11293,6.838%,8474,6.464%
24,Delphox,9.10158%,16141,9.773%,12515,9.547%
25,Glalie-Mega,8.51728%,20502,12.413%,14872,11.345%
26,Rotom,8.44148%,8986,5.441%,7610,5.805%
27,Rhydon,8.33918%,13684,8.285%,11431,8.720%
28,Braviary,7.79208%,12797,7.748%,9886,7.541%
29,Gurdurr,7.76058%,966,0.585%,787,0.600%
30,Medicham,7.58413%,9768,5.914%,7257,5.536%
31,Scrafty,7.29932%,12498,7.567%,9505,7.251%
32,Sneasel,6.62620%,9357,5.665%,6985,5.328%
33,Clawitzer,5.45125%,15542,9.410%,12119,9.245%
34,Kabutops,5.28888%,2415,1.462%,1919,1.464%
35,Mismagius,5.23816%,11815,7.154%,8918,6.803%
36,Hariyama,5.12528%,8590,5.201%,6987,5.330%
37,Palossand,5.08451%,9302,5.632%,7874,6.007%
38,Sceptile,5.02950%,12408,7.513%,9094,6.937%
39,Exeggutor-Alola,5.02703%,6974,4.223%,5309,4.050%
40,Miltank,4.66946%,9260,5.607%,7379,5.629%
41,Vivillon,4.63739%,10676,6.464%,7790,5.942%
42,Electrode,4.56627%,1685,1.020%,1422,1.085%
43,Silvally-Steel,4.37429%,8188,4.958%,6845,5.222%
44,Vikavolt,4.25147%,12155,7.359%,9322,7.111%
45,Magmortar,4.11588%,9614,5.821%,7442,5.677%
46,Froslass,4.04891%,2394,1.449%,2102,1.603%
47,Audino-Mega,3.77501%,13401,8.114%,9984,7.616%
48,Malamar,2.85256%,12960,7.847%,10182,7.767%
49,Accelgor,2.69020%,13966,8.456%,10805,8.242%
50,Torterra,2.53944%,8375,5.071%,6836,5.215%
51,Piloswine,2.52951%,6627,4.012%,5733,4.373%
52,Hitmonlee,2.47325%,11606,7.027%,8671,6.614%
53,Abomasnow-Mega,2.43419%,4705,2.849%,3645,2.781%
54,Typhlosion,2.07419%,13412,8.121%,10187,7.771%
55,Ambipom,2.06863%,20852,12.625%,17085,13.033%
56,Charizard,2.02894%,5082,3.077%,3947,3.011%
57,Aromatisse,2.02686%,1752,1.061%,1302,0.993%
58,Guzzlord,2.01775%,2278,1.379%,1800,1.373%
59,Sawk,1.94722%,2512,1.521%,1971,1.504%
60,Minior,1.91285%,12449,7.537%,9164,6.991%
61,Hitmontop,1.68364%,9588,5.805%,7830,5.973%
62,Silvally-Ghost,1.63451%,795,0.481%,635,0.484%
63,Skuntank,1.53550%,1315,0.796%,1064,0.812%
64,Kingler,1.53427%,4030,2.440%,2990,2.281%
65,Vikavolt-Totem,1.48326%,152,0.092%,119,0.091%
66,Scyther,1.46916%,1906,1.154%,1470,1.121%
67,Absol,1.45954%,1284,0.777%,961,0.733%
68,Stoutland,1.39087%,554,0.335%,449,0.343%
69,Regirock,1.38741%,2106,1.275%,1762,1.344%
70,Ferroseed,1.37404%,3675,2.225%,3316,2.530%
71,Sandslash-Alola,1.32866%,1502,0.909%,1208,0.921%
72,Rapidash,1.18583%,831,0.503%,652,0.497%
73,Lilligant,1.12053%,2601,1.575%,1897,1.447%
74,Samurott,1.11272%,3482,2.108%,2713,2.070%
75,Houndoom,1.08684%,3372,2.042%,2601,1.984%
76,Pyukumuku,1.05736%,940,0.569%,682,0.520%
77,Tauros,1.04703%,3944,2.388%,2873,2.192%
78,Aurorus,1.03322%,1185,0.717%,961,0.733%
79,Kangaskhan,1.03249%,483,0.292%,382,0.291%
80,Archeops,0.99611%,3707,2.244%,3003,2.291%
81,Cinccino,0.98528%,7897,4.781%,5932,4.525%
82,Articuno,0.94261%,1312,0.794%,1000,0.763%
83,Gallade,0.93718%,4495,2.722%,3395,2.590%
84,Roselia,0.88809%,826,0.500%,676,0.516%
85,Probopass,0.86767%,922,0.558%,808,0.616%
86,Type: Null,0.86533%,597,0.361%,458,0.349%
87,Altaria,0.85826%,655,0.397%,507,0.387%
88,Ludicolo,0.85092%,1601,0.969%,1295,0.988%
89,Bellossom,0.82439%,442,0.268%,302,0.230%
90,Aggron,0.82434%,1857,1.124%,1498,1.143%
91,Tangela,0.80826%,952,0.576%,734,0.560%
92,Qwilfish,0.80752%,1349,0.817%,1152,0.879%
93,Silvally-Fairy,0.80070%,909,0.550%,743,0.567%
94,Quagsire,0.79794%,2480,1.502%,1990,1.518%
95,Cradily,0.75712%,837,0.507%,681,0.519%
96,Mudsdale,0.75668%,1796,1.087%,1546,1.179%
97,Liepard,0.60271%,1888,1.143%,1547,1.180%
98,Jynx,0.58459%,707,0.428%,527,0.402%
99,Ursaring,0.57249%,1081,0.655%,826,0.630%
100,Dodrio,0.55264%,1371,0.830%,1015,0.774%
101,Haunter,0.52606%,974,0.590%,754,0.575%
102,Silvally-Ground,0.52481%,188,0.114%,149,0.114%
